TITLE SDSC GRID  [-3.0]   VTURB 2.0 KM/S    L/H 1.25                            
 OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
 CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
ABUNDANCE SCALE   0.00100 ABUNDANCE CHANGE 1 0.91100 2 0.08900
 ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
 ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
 ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
 ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
 ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
 ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.11681214E+01   2089.0 3.532E+01 7.907E+05 5.565E-07 9.265E-06 2.000E+05 0.000E+00 0.000E+00
 1.43887442E+01   2107.5 4.550E+01 1.024E+06 6.112E-07 9.104E-06 2.000E+05 0.000E+00 0.000E+00
 1.82288831E+01   2136.2 5.764E+01 1.331E+06 6.914E-07 9.006E-06 2.000E+05 0.000E+00 0.000E+00
 2.27678504E+01   2165.1 7.200E+01 1.704E+06 7.769E-07 8.937E-06 2.000E+05 0.000E+00 0.000E+00
 2.81621321E+01   2195.4 8.906E+01 2.161E+06 8.706E-07 8.891E-06 2.000E+05 0.000E+00 0.000E+00
 3.45982315E+01   2226.1 1.094E+02 2.716E+06 9.712E-07 8.853E-06 2.000E+05 0.000E+00 0.000E+00
 4.22867273E+01   2259.1 1.337E+02 3.394E+06 1.085E-06 8.850E-06 2.000E+05 0.000E+00 0.000E+00
 5.14520624E+01   2294.3 1.627E+02 4.219E+06 1.215E-06 8.877E-06 2.000E+05 0.000E+00 0.000E+00
 6.23812688E+01   2330.2 1.973E+02 5.216E+06 1.359E-06 8.895E-06 2.000E+05 0.000E+00 0.000E+00
 7.53673664E+01   2369.4 2.383E+02 6.439E+06 1.530E-06 8.969E-06 2.000E+05 0.000E+00 0.000E+00
 9.07007184E+01   2411.0 2.868E+02 7.953E+06 1.732E-06 9.075E-06 2.000E+05 0.000E+00 0.000E+00
 1.08730117E+02   2453.2 3.438E+02 9.865E+06 1.967E-06 9.184E-06 2.000E+05 0.000E+00 0.000E+00
 1.29823368E+02   2497.2 4.105E+02 1.236E+07 2.251E-06 9.337E-06 2.000E+05 0.000E+00 0.000E+00
 1.54301688E+02   2542.5 4.879E+02 1.571E+07 2.597E-06 9.519E-06 2.000E+05 0.000E+00 0.000E+00
 1.82526307E+02   2587.9 5.772E+02 2.021E+07 3.009E-06 9.728E-06 2.000E+05 0.000E+00 0.000E+00
 2.14980544E+02   2632.0 6.798E+02 2.617E+07 3.490E-06 9.962E-06 2.000E+05 0.000E+00 0.000E+00
 2.52360165E+02   2673.5 7.980E+02 3.379E+07 4.031E-06 1.021E-05 2.000E+05 0.000E+00 0.000E+00
 2.95678702E+02   2711.2 9.350E+02 4.321E+07 4.620E-06 1.047E-05 2.000E+05 0.000E+00 0.000E+00
 3.46346754E+02   2744.7 1.095E+03 5.449E+07 5.241E-06 1.074E-05 2.000E+05 0.000E+00 0.000E+00
 4.06160436E+02   2774.6 1.284E+03 6.788E+07 5.898E-06 1.104E-05 2.000E+05 0.000E+00 0.000E+00
 4.77296801E+02   2801.3 1.509E+03 8.366E+07 6.594E-06 1.137E-05 2.000E+05 0.000E+00 0.000E+00
 5.62295591E+02   2826.1 1.778E+03 1.025E+08 7.351E-06 1.175E-05 2.000E+05 0.000E+00 0.000E+00
 6.64001076E+02   2849.9 2.100E+03 1.251E+08 8.194E-06 1.219E-05 2.000E+05 0.000E+00 0.000E+00
 7.85534498E+02   2873.4 2.484E+03 1.527E+08 9.157E-06 1.271E-05 2.000E+05 0.000E+00 0.000E+00
 9.30342728E+02   2897.0 2.942E+03 1.863E+08 1.027E-05 1.334E-05 2.000E+05 0.000E+00 0.000E+00
 1.10166837E+03   2922.8 3.484E+03 2.286E+08 1.164E-05 1.412E-05 2.000E+05 0.000E+00 0.000E+00
 1.30224016E+03   2950.6 4.118E+03 2.817E+08 1.332E-05 1.508E-05 2.000E+05 4.924E-05 0.000E+00
 1.53470573E+03   2980.4 4.853E+03 3.480E+08 1.539E-05 1.627E-05 2.000E+05 2.092E-04 0.000E+00
